epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
42.460799,0.125,0.418,0.771,0.060,0.186,0.198,0.750,0.056
42.620799000000005,0.105,0.354,0.771,0.074,0.121,0.560,0.791,0.063
42.780799,0.148,0.200,0.635,0.065,0.098,0.503,0.778,0.045
42.940799000000005,0.106,0.537,0.735,0.058,0.108,0.450,0.702,0.050
43.089599,0.135,0.707,0.722,0.061,0.235,0.754,0.731,0.051
43.249599,0.119,0.523,0.844,0.061,0.135,0.611,0.734,0.075
43.409599,0.107,0.355,0.667,0.056,0.159,0.573,0.675,0.054
43.569599000000004,0.112,0.700,0.699,0.059,0.158,0.246,0.727,0.081
43.729599,0.113,0.287,0.801,0.056,0.132,0.262,0.747,0.072
43.889599000000004,0.252,0.782,0.622,0.063,0.211,0.512,0.778,0.045
44.038399000000005,0.086,0.710,1.029,0.124,0.147,0.313,1.416,0.102
44.198399,0.089,0.621,0.678,0.079,0.177,0.721,0.945,0.051
44.358399000000006,0.066,0.421,0.783,0.116,0.264,0.719,1.137,0.054
44.518399,0.204,0.118,0.707,0.068,0.132,0.332,0.792,0.053
44.678399000000006,0.282,1.146,0.692,0.071,0.182,0.923,0.794,0.047
44.838399,0.096,0.314,0.732,0.067,0.161,0.257,0.845,0.051
44.998399,0.206,1.021,0.691,0.058,0.139,0.215,0.711,0.056
45.147199,0.116,0.462,0.763,0.065,0.148,0.394,0.803,0.060
45.307199000000004,0.182,0.971,0.702,0.069,0.130,0.476,0.807,0.058
45.467199,0.146,0.439,0.714,0.070,0.185,0.179,0.821,0.049
45.627199000000005,0.200,1.034,0.710,0.065,0.095,0.306,0.805,0.060
45.787199,0.122,0.620,0.682,0.058,0.147,0.338,0.718,0.050
45.947199000000005,0.243,1.199,0.671,0.052,0.271,0.309,0.630,0.049
46.095999,0.245,0.081,0.713,0.069,0.218,0.252,0.730,0.054
46.255999,0.144,0.721,0.777,0.061,0.095,0.380,0.746,0.056
46.415999,0.101,0.435,0.638,0.059,0.102,0.365,0.744,0.048
46.575999,0.080,0.458,0.724,0.059,0.141,0.321,0.689,0.052
46.735999,0.249,0.114,0.687,0.058,0.114,0.437,0.797,0.050
46.895999,0.134,0.715,0.657,0.061,0.105,0.711,0.741,0.051
47.044799000000005,0.430,1.816,0.704,0.064,0.161,0.183,0.821,0.052
47.204799,0.110,0.290,0.653,0.062,0.170,0.250,0.772,0.051
47.364799000000005,0.083,0.601,0.670,0.060,0.091,0.411,0.747,0.047
47.524799,0.143,0.257,0.644,0.060,0.164,0.484,0.747,0.053
47.684799000000005,0.120,0.929,0.637,0.062,0.158,0.236,0.752,0.048
47.844799,0.072,0.368,0.683,0.062,0.289,0.108,0.757,0.053
48.004799000000006,0.106,0.295,0.632,0.057,0.117,0.283,0.726,0.050
48.153599,0.139,0.227,0.629,0.055,0.137,0.245,0.724,0.044
48.313599,0.130,0.286,0.619,0.059,0.126,0.373,0.760,0.046
48.473599,0.111,0.320,0.698,0.059,0.163,0.158,0.715,0.052
48.633599000000004,0.082,0.350,0.722,0.066,0.168,0.134,0.810,0.061
48.793599,2.415,2.549,0.665,0.059,0.154,0.492,0.716,0.049
48.953599000000004,0.199,0.336,0.577,0.058,0.333,1.169,0.791,0.048
49.102399000000005,0.132,0.423,0.641,0.067,0.124,0.333,0.779,0.047
49.262399,0.128,0.643,0.677,0.058,0.192,0.217,0.667,0.056
49.422399000000006,0.100,0.730,0.615,0.060,0.129,0.306,0.727,0.048
