epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
290,0.011,0.880,0.795,0.060,0.017,1.425,0.647,0.052
290,0.006,0.838,0.720,0.059,0.036,1.265,0.701,0.059
290,0.008,1.195,0.621,0.055,0.013,0.908,0.677,0.048
290,0.008,0.899,0.662,0.057,0.024,0.906,0.622,0.055
290,0.015,1.011,0.723,0.056,0.012,1.011,0.717,0.052
290,0.005,1.019,0.605,0.052,0.021,0.875,0.664,0.043
290,0.006,1.157,0.635,0.054,0.045,0.876,0.664,0.043
290,0.012,1.065,0.714,0.056,0.036,0.675,0.663,0.056
290,0.011,0.953,0.621,0.059,0.015,0.836,0.659,0.044
290,0.004,0.927,0.574,0.057,0.019,0.836,0.635,0.039
290,0.004,1.130,0.660,0.056,0.014,0.863,0.677,0.049
290,0.005,1.108,0.656,0.051,0.036,0.764,0.602,0.048
290,0.015,0.777,0.650,0.049,0.023,0.762,0.586,0.051
290,0.007,0.998,0.594,0.050,0.027,0.818,0.635,0.038
290,0.005,0.991,0.664,0.049,0.024,1.196,0.574,0.048
290,0.007,0.910,0.677,0.050,0.036,0.840,0.615,0.048
290,0.005,0.925,0.579,0.055,0.017,1.021,0.700,0.040
290,0.013,0.959,0.654,0.056,0.027,1.247,0.764,0.051
290,0.018,0.906,0.696,0.050,0.012,0.976,0.598,0.062
291,0.010,0.884,0.682,0.058,0.018,0.859,0.739,0.049
291,0.005,0.846,0.646,0.054,0.030,0.827,0.631,0.042
291,0.010,0.978,0.677,0.057,0.031,0.900,0.701,0.048
291,0.007,0.878,0.801,0.049,0.021,0.642,0.599,0.065
291,0.007,1.058,0.675,0.051,0.014,0.908,0.653,0.055
291,0.007,0.791,0.686,0.054,0.033,0.752,0.651,0.048
291,0.005,1.026,0.590,0.062,0.032,1.315,0.691,0.040
291,0.005,0.980,0.629,0.057,0.013,0.985,0.700,0.045
291,0.008,0.971,0.589,0.058,0.013,0.972,0.723,0.039
291,0.005,1.110,0.673,0.056,0.041,0.651,0.695,0.048
291,0.006,0.892,0.682,0.049,0.040,0.720,0.585,0.046
291,0.010,0.887,0.572,0.060,0.017,1.351,0.744,0.038
291,0.005,0.872,0.679,0.043,0.020,1.167,0.521,0.049
291,0.013,0.905,0.594,0.055,0.036,0.988,0.679,0.043
291,0.011,0.952,0.669,0.054,0.016,1.102,0.656,0.047
291,0.006,1.067,0.709,0.052,0.014,1.040,0.638,0.049
291,0.011,1.035,0.571,0.057,0.013,0.854,0.683,0.045
291,0.007,0.869,0.718,0.058,0.015,1.213,0.744,0.049
291,0.007,0.979,0.668,0.049,0.023,0.756,0.612,0.047
291,0.006,0.885,0.584,0.052,0.019,0.827,0.647,0.040
291,0.009,0.991,0.642,0.051,0.013,0.833,0.680,0.046
291,0.005,0.983,0.567,0.057,0.013,0.917,0.669,0.039
291,0.006,1.014,0.692,0.050,0.013,0.752,0.592,0.046
291,0.007,0.827,0.576,0.047,0.018,0.813,0.617,0.039
291,0.008,1.133,0.611,0.065,0.034,1.003,0.755,0.041
292,0.009,1.149,0.713,0.047,0.054,0.811,0.590,0.067
292,0.007,1.010,0.688,0.059,0.030,0.968,0.746,0.053
292,0.007,0.963,0.585,0.052,0.015,1.433,0.612,0.039
292,0.015,0.869,0.659,0.062,0.016,0.879,0.765,0.043
292,0.005,1.007,0.642,0.064,0.015,1.077,0.751,0.044
292,0.004,0.887,0.632,0.050,0.024,0.781,0.613,0.041
292,0.009,0.904,0.763,0.059,0.027,1.001,0.811,0.059
292,0.008,0.904,0.659,0.061,0.015,0.981,0.701,0.054
292,0.006,1.033,0.626,0.064,0.026,0.878,0.738,0.049
292,0.005,1.042,0.655,0.049,0.019,1.261,0.615,0.049
292,0.006,0.745,0.587,0.048,0.012,0.824,0.560,0.037
292,0.004,0.965,0.552,0.049,0.017,0.811,0.571,0.037
292,0.008,1.033,0.609,0.055,0.012,0.838,0.677,0.046
292,0.006,1.007,0.602,0.055,0.022,1.088,0.654,0.041
292,0.005,0.921,0.764,0.057,0.040,0.852,0.653,0.059
292,0.007,0.933,0.660,0.053,0.027,1.163,0.616,0.046
292,0.007,1.053,0.798,0.052,0.013,0.760,0.619,0.077
292,0.005,1.088,0.662,0.054,0.013,0.919,0.678,0.048
292,0.005,1.114,0.675,0.062,0.017,0.996,0.735,0.047
292,0.005,1.052,0.658,0.045,0.036,0.889,0.537,0.045
292,0.019,0.979,0.694,0.049,0.043,0.880,0.589,0.053
292,0.006,0.904,0.651,0.056,0.025,0.876,0.659,0.048
292,0.007,0.965,0.627,0.055,0.020,0.569,0.608,0.043
292,0.007,0.900,0.661,0.054,0.027,1.162,0.636,0.048
292,0.040,0.821,0.704,0.062,0.013,1.087,0.718,0.047
293,0.009,0.872,0.660,0.050,0.025,0.884,0.614,0.045
293,0.012,0.825,0.614,0.065,0.020,0.965,0.689,0.044
293,0.006,0.985,0.706,0.050,0.020,1.307,0.602,0.051
293,0.006,1.056,0.738,0.058,0.015,1.037,0.657,0.052
293,0.006,0.970,0.703,0.049,0.013,0.924,0.621,0.053
293,0.007,1.114,0.610,0.065,0.019,0.789,0.725,0.044
293,0.007,0.948,0.598,0.057,0.021,0.706,0.662,0.045
293,0.007,0.859,0.668,0.063,0.014,1.179,0.718,0.052
293,0.008,0.922,0.628,0.052,0.021,1.095,0.628,0.047
293,0.013,1.230,0.622,0.052,0.016,0.719,0.619,0.044
293,0.017,1.147,0.674,0.054,0.046,0.755,0.684,0.047
293,0.007,0.926,0.631,0.053,0.022,0.727,0.601,0.048
293,0.009,0.846,0.629,0.047,0.024,0.747,0.560,0.044
293,0.006,1.044,0.656,0.053,0.029,0.902,0.641,0.055
293,0.017,0.870,0.607,0.060,0.035,0.713,0.713,0.041
293,0.005,1.015,0.610,0.056,0.015,1.085,0.589,0.044
293,0.004,0.937,0.645,0.049,0.015,0.855,0.561,0.042
293,0.005,1.145,0.685,0.065,0.029,1.434,0.771,0.047
293,0.011,0.838,0.625,0.065,0.019,0.599,0.718,0.045
293,0.009,1.141,0.715,0.056,0.039,1.141,0.634,0.056
293,0.015,1.077,0.610,0.051,0.016,1.126,0.588,0.046
293,0.010,1.039,0.644,0.055,0.025,0.810,0.655,0.047
293,0.008,1.031,0.625,0.052,0.042,0.610,0.582,0.041
293,0.012,0.831,0.619,0.065,0.040,0.960,0.757,0.052
293,0.006,1.094,0.650,0.050,0.021,0.871,0.615,0.045
294,0.004,0.938,0.670,0.055,0.016,0.914,0.618,0.044
294,0.012,0.887,0.656,0.059,0.017,0.963,0.644,0.054
